a_cup	一杯

riot	暴动

riot_gear	防暴装备

riot_police	防暴警察

rioting	骚乱

riots	暴动

rise	上升

rising	升起

rising_star	后起之秀

risk	风险

risk_appetite	风险偏好

risk_assessment	风险评估

risk_management	风险管理

risk_tolerance	风险承受能力

ritual	仪式

ritual_abuse	礼节性虐待

rival	对手

rivalry	对抗

river	河

river_bank	河岸

river_basin	流域

river_bed	河床

river_god	河神

river_rat	河鼠

riverside	河边

road	路

road_accident	车祸

road_agent	道路代理

road_car	公路车

road_film	路膜

road_game	公路游戏

road_map	路线图

road_movie	公路电影

road_race	公路赛

road_racing	公路赛车

road_rage	路怒

road_sign	路标

road_train	公路列车

road_trip	公路旅行

road_warrior	勇士之路

road_work	修路

roadmap	路线图

roadside	路边

roadside_bomb	路边炸弹

robbery	抢劫

robin	知更鸟

robot	机器人

roc	鹏

rock	岩石

rock_band	摇滚乐队

rock_bottom	最低点

rock_candy	冰糖

rock_climbing	攀岩

rock_crystal	水晶

rock_face	岩石表面

rock_group	摇滚乐队

rock_music	摇滚音乐

rock_salt	岩盐

rock_shelter	岩石掩体

rock_star	摇滚明星

rock_steady	稳如泰山

rocket	火箭

rocket_car	火箭车

rocket_engine	火箭发动机

rocket_motor	火箭发动机

rocket_science	火箭科学

rocket_scientist	火箭科学家

rocket_ship	火箭飞船

rocket_stage	火箭舞台

rod	竿

rod_cell	杆状细胞

rode	骑着车

rodham	希拉里

rogue	流氓

role	角色

role_model	榜样

role_player	角色扮演者

roll	滚

roll_call	点名

roller	滚筒

roller_hockey	滚球曲棍球

rolling_stock	机车车辆

rolling_stone	滚石

romance	浪漫

romano	罗马诺

romantic	浪漫

romantic_comedy	爱情喜剧

roof	屋顶

rookie	新秀

room	房间

room_service	客房服务

room_temperature	室内温度

root	根

root_beer	生啤酒

root_canal	牙根

root_cause	根本原因

root_hair	根发

root_word	词根

rope	绳

rosa	罗莎

rose	玫瑰

rose_garden	玫瑰花园

rose_gold	玫瑰金

rose_oil	玫瑰油

rose_water	玫瑰水

rose_window	玫瑰窗

roster	名册

rotation	回转

rotation_period	轮换期

rouge	胭脂

rough	粗

rough_trade	毛坯贸易

round	回合

round_robin	轮巡

round_table	圆桌会议

round_top	圆顶

round_trip	往返

roundup	围捕

route	路线

routine	常规

rover	流浪者

row	行

row_house	排屋

royal	王室的

royal_blue	宝蓝色

royal_family	王室

royal_household	王室

royal_tennis	皇家网球

royalty	王权

rubber	橡胶

rubber_band	橡皮筋

rubber_bullet	橡胶子弹

rubber_match	橡胶火柴

rubber_tree	橡胶树

rubbish	垃圾

rubble	瓦砾

rubin	鲁宾

ruby	红宝石

rudd	鲢鱼

rudy	鲁迪

rugby	橄榄球

rugby_football	橄榄球

rugby_league	橄榄球联盟

rugby_player	橄榄球运动员

rugby_union	橄榄球联合会

ruin	废墟

rule	规则

rule_book	规则书

ruler	统治者

rulers	统治者

ruling	裁决

run	跑

run_chase	追逐

run_out	用完

run_rate	运行速度

run_time	运行

runaway	逃跑

runner	跑步者

running	赛跑

running_man	奔跑者

running_mate	跑步伴侣

running_shoe	跑鞋

runoff	径流

runway	跑道

runway_model	跑道模型

rupiah	印尼盾

rush	赶

rush_hour	高峰时间

ruth	怜悯

ryder	莱德

sabotage	破坏

sack	袋

sacrifice	牺牲

sacrifice_fly	牺牲苍蝇

safe	安全

safe_harbor	避风港

safe_mode	安全模式

safeguard	保障

safer	更安全

safety	安全

safety_belt	安全带

safety_car	安全车

safety_glass	安全玻璃

safety_helmet	安全帽

safety_net	安全网

safety_pin	安全别针

saga	冒险故事

sail	帆

sailing	帆船

sailing_ship	帆船

sailing_vessel	帆船

sailor	水手

saint	圣

sake	清酒

salad	沙拉

salad_bar	沙拉台

salary	薪水

salary_cap	工资上限

sale	拍卖

sale_price	销售价格

salesman	推销员

sally	出击

salmon	三文鱼

salt	盐

salt_dome	盐穹顶

salt_flat	盐平

salt_marsh	盐沼

salt_mine	盐矿

salt_pan	盐田

salt_water	盐水

salvage	打捞

salvation	救恩

sam	SAM

sample	样品

sample_mean	样本平均值

sample_space	样本空间

sampling	采样

san	SAN

sanctuary	避难所

sand	砂

sand_bar	沙洲

sand_dollar	沙钱

sand_martin	沙马丁

sand_storm	沙尘暴

sandwich	三明治

sanitation	卫生

sat	SAT

satellite	卫星

satellite_campus	卫星校园

satellite_dish	卫星天线

satellite_navigation	卫星导航

satellite_phone	卫星电话

satisfaction	满足

sauce	酱

savage	野蛮人

save	救

saving	保存

saving_grace	救命之恩

savings	储

savings_account	储蓄账户

savings_bank	储蓄银行

saw	锯

say	说

saying	话

scale	规模

scale_model	比例模型

scan	扫描

scandal	丑闻

scare	吓

scenario	脚本

scene	现场

scenic	名胜

schedule	时间表

scheme	方案

scholar	学者

scholarship	奖学金

school	学校

school_band	学校乐队

school_board	学校董事会

school_book	教科书

school_bus	校车

school_class	学校课

school_mate	同学

school_run	办学

school_shooting	学校射击

school_trip	校园旅行

school_uniform	校服

school_year	学年

science	科学

science_center	科学中心

science_centre	科学中心

science_fair	科学公正

science_fiction	科幻小说

science_park	科学园

scientific_method	科学的方法

scientific_name	科学名称

scientific_research	科学研究

scientist	科学家

scope	范围

score	得分

score_sheet	评分表

scoreboard	记分牌

scorer	记分员

scoring	得分

scotia	斯科舍省

scout	侦察

scouting	侦察

scrap	废料

scratch	刮

screen	屏幕

screen_capture	屏幕截图

screen_door	屏门

screen_name	屏幕名称

screen_printing	丝网印刷

screen_reader	屏幕阅读器

screen_test	屏幕测试

screen_time	检测时间

screen_wall	屏风墙

screening	筛查

screening_room	放映室

screenplay	剧本

screens	屏幕

screenwriter	编剧

script	脚本

script_editor	脚本编辑器

scrutiny	审查

sculptor	雕塑家

sculpture	雕塑

sea	海

sea_anchor	海锚

sea_bass	鲈鱼

sea_bed	海床

sea_bird	海鸟

sea_change	海变

sea_cow	海牛

sea_devil	海魔

sea_dog	海狗

sea_dragon	海龙

sea_eagle	海鹰

sea_horse	海马

sea_ice	海冰

sea_king	海王

sea_lane	海路

sea_level	海平面

sea_lion	海狮

sea_monster	海怪

sea_mouse	海鼠

sea_salt	海盐

sea_snail	海蜗牛

sea_snake	海蛇

sea_spider	海蜘蛛

sea_star	海星

sea_trial	海试

sea_vegetable	海菜

sea_wall	海堤

sea_water	海水

sea_wolf	海狼

seafood	海鲜

seal	密封

seal_script	印章脚本

search	搜索

search_box	搜索框

search_engine	搜索引擎

search_party	搜索队

search_term	搜索词

search_warrant	搜查令

searching	搜索

seashore	海滨

seaside	海滨

season	季节

season_finale	季节结局

season_ticket	季票

seat	座位

seat_belt	安全带

seating	休息

sec	秒

second	第二

second_baseman	二垒手

second_coming	第二次来

second_home	第二个家

second_lieutenant	少尉

second_name	第二个名字

second_person	第二人称

secondary	次要

secondary_school	中学

secondary_structure	二级结构

secrecy	保密

secret	秘密

secret_agent	密探

secret_police	秘密警察

secret_service	私人服务

secret_society	秘密社会

secretariat	秘书处

secretary	秘书

secretary_bird	秘书鸟

secretary_general	秘书长

sect	教派

sectarian	宗派

section	部分

sector	扇形

security	安全

security_blanket	安全毯

security_camera	监视器

security_community	安全社区

security_deposit	保证金

security_guard	警卫

security_hole	安全孔

security_interest	安全利益

security_procedure	安全程序

security_theater	安全剧院

sedan	四门轿车

see	看到

seed	种子

seed_cake	种子蛋糕

seed_coat	种皮

seed_money	种子钱

seed_plant	种子植物

segment	分割

seizure	发作

selection	选择

self_control	自我控制

sell	卖

seller	卖家

selling	销售

selling_point	卖点

selling_price	售价

semi	半

semiconductor	半导体

semifinal	半决赛

seminar	研讨会

seminary	修院

sen	森

senate	参议院

senator	参议员

send	发送

senior	前辈

senior_citizen	老年人

sensation	感觉

sense	感

sense_organ	感觉器官

sensitive	敏感

sensitivity	灵敏度

sent	发送

sentence	句子

sentencing	宣判

sentiment	情绪

separate	分离

separation	分割

separatist	分裂

sequel	续集

sequence	序列

sergeant	军士

sergeant_major	军士长

serial	串行

serial_killer	连环杀手

serial_port	串行端口

series	系列

series_circuit	串联电路

series_finale	系列结局

servant	仆人

serve	服务

server	服务器

service	服务

service_agreement	服务协议

service_area	服务区

service_charge	服务费

service_dog	服务犬

service_game	服务游戏

service_industry	服务业

service_line	服务专线

service_mark	服务标记

service_station	服务站

serviceman	军人

services	服务

serving	服务

session	会议

session_musician	会议音乐家

set	组

set_list	设置列表

set_piece	固定形式

set_point	设定点

set_theory	集合论

setback	挫折

setting	设置

settle	解决

settlement	沉降

settlement_agreement	和解协议

settler	定居者

settling	解决

seven	七

sewage	污水

sex	性别

sex_act	性行为

sex_aid	性帮助

sex_appeal	情趣

sex_bomb	性炸弹

sex_cell	性细胞

sex_change	性别变化

sex_comedy	性喜剧

sex_drive	性欲

sex_education	性教育

sex_life	性生活

sex_object	性对象

sex_organ	性器官

sex_partner	性伴侣

sex_party	性爱派对

sex_position	性别姿势

sex_ratio	性别比例

sex_scene	性爱场面

sex_shop	性用品店

sex_slave	性奴隶

sex_symbol	性别符号

sex_tape	性爱录像带

sex_therapy	性治疗

sex_tourism	性旅游

sex_toy	性玩具

sex_work	性工作

sex_worker	性工作者

sexual	有性

sexual_act	性行为

sexual_assault	性侵犯

sexual_orientation	性取向

sexuality	性欲

shade	阴凉处

shadow	阴影

shadow_banking	影子银行

shadow_government	影子政府

shadow_minister	影子大臣

shadow_play	皮影戏

shaft	轴

shah	沙阿

shake	抖动

shallow	浅

shame	耻辱

shanghai	上海

shape	形状

share	分享

shared_service	共享服务

shareholder	股东

sharif	谢里夫

shark	鲨鱼

shark_attack	鲨鱼袭击

sharp	尖锐

shaw	肖

shed	棚子

sheep	羊

sheer	绝对

sheet	片

sheet_metal	钣金

sheet_music	乐谱

sheik	酋长

sheikh	酋长

shelf	架

shelf_life	保质期

shell	贝壳

shell_game	外壳游戏

shell_script	外壳脚本

shell_shock	外壳震动

shelling	炮轰

shelter	庇护

shepherd	牧羊人

sheriff	郡治安官

shield	屏蔽

shield_law	盾构法

shift	转移

shift_key	Shift键

shifting	移

shin	胫

shine	闪耀

ship	船

ship_rat	船鼠

shipment	装船

shipping	运输

shipping_company	航运公司

shirt	衬衫

shock	休克

shock_site	冲击部位

shock_therapy	休克疗法

shock_troop	冲锋队

shock_wave	激波

shoe	鞋子

shoe_box	鞋盒

shoe_shop	鞋店

shoe_tree	鞋tree

shook	震撼

shoot	射击

shooter	射手

shooting	射击

shooting_gallery	射击场

shooting_guard	得分后卫

shooting_range	射击范围

shooting_star	流星

shootout	枪战

shop	店

shop_assistant	售货员

shop_floor	车间

shop_window	商店橱窗

shopping	购物

shopping_bag	购物包

shopping_basket	购物篮

shopping_cart	购物车

shopping_center	购物中心

shopping_centre	购物中心

shopping_list	购物清单

shopping_mall	购物中心

shore	岸

short	短

short_circuit	短路

short_form	简写

short_sale	卖空

short_story	短篇故事

short_title	简称

shortage	短缺

shorter	短

shortfall	缺口

shortstop	游击手

shot	射击

shot_clock	射击时钟

shot_glass	酒杯

shot_put	铅球

shot_tower	射击塔

shoulder	肩

shoulder_bag	单肩包

shoulder_joint	肩关节

shouting	叫喊

show	节目

show_globe	显示地球

show_jumper	显示跳线

show_trial	显示审判

showcase	橱窗

showdown	摊牌

shower	淋浴

shower_head	花洒头

showing	展示

shrimp	虾

shrine	神社

shrink	收缩

shut	关闭

shutdown	关掉

shutout	停业

shuttle	穿梭

shuttle_bus	机场摆渡车

shuttle_diplomacy	穿梭外交

shy	害羞

sibling	兄弟

sick	生病

sickness	疾病

side	侧

side_chain	侧链

side_dish	小菜

side_effect	副作用

side_issue	附带问题

side_order	副订单

side_show	边秀

side_street	小街

side_wall	侧墙

sideline	副业

sidelines	场边

sides	双方

siege	围城

siege_engine	攻城器

siege_warfare	攻城战

siege_weapon	攻城武器

siemens	西门子

sierra	内华达

sight	视力

sign	标志

sign_language	标志语言

signal	信号

signal_box	信号盒

signaling	发信号

signature	签名

significance	意义

significant	重大

signing	签约

signing_bonus	签约奖金

silence	安静

silent	无声

silent_film	默片

silicon	硅

silicon_chip	硅片

silk	丝

silly	愚蠢

silva	席尔瓦

silver	银

silver_age	银器时代

silver_ball	银球

silver_bullet	银子弹

silver_dollar	银圆

silver_fox	银狐

silver_lining	一线希望

silver_medal	银牌

silver_medalist	银牌得主

silver_mine	银矿

silver_screen	银幕

simon	西蒙

simple	简单

sin	罪

sin_bin	罪斌

sing	唱

singer	歌手

singers	歌手

singing	唱歌

singing_bowl	唱歌碗

singing_voice	歌声

single	单

sink	下沉

sinking	下沉

sir	先生

sister	妹妹

sister_city	姊妹城市

sister_company	姊妹公司

sister_ship	姊妹船

sit	坐

sitcom	情景喜剧

site	现场

site_map	网站地图

sitting	坐在

situation	情况

situation_comedy	情景喜剧

six	六

sixth_form	第六形式

sixth_grade	六年级

sixth_sense	第六感

size	尺寸

skate	滑冰

skate_park	滑板公园

skating	溜冰

skepticism	怀疑论

sketch	草图

ski	滑雪

ski_jump	跳台滑雪

ski_jumping	跳台滑雪

ski_lift	滑雪缆车

ski_resort	滑雪胜地

skiing	滑雪

skill	技能

skill_set	技能

skin	皮肤

skin_cancer	皮肤癌

skin_color	肤色

skin_colour	肤色

skin_effect	皮肤效果

skin_tag	皮肤标签

skip	跳跃

skipper	船长

skull	头骨

sky	天空

slain	被杀

slalom	激流回旋

slam	猛撞

slap	拍击

slash	削减

slate	石板

slaughter	屠宰

slave	奴隶

slave_labour	奴工

slave_trade	奴隶买卖

slavery	奴隶制度

slaying	杀害

sleep	睡觉

sleep_disorder	睡眠障碍

sleep_schedule	睡眠时间表

sleeping	睡眠

slice	切片

slick	华而不实的

slide	滑动

slide_guitar	滑吉他

slide_rule	计算尺

slide_show	幻灯片放映

sliding	滑动

slim	瘦

slip	滑

slogan	口号

slope	坡

slot	插槽

slot_machine	老虎机

slow	慢

slow_food	慢食

slow_motion	慢动作

slowdown	慢一点

slowing	减缓

slump	暴跌

small	小

small_ball	小球

small_business	小本生意

small_heath	小健康

small_town	小镇

smart	聪明

smart_card	智能卡

smell	闻

smell_test	气味测试

smile	微笑

smiling	微笑

smith	工匠

smoke	抽烟

smoke_alarm	烟雾报警器

smoke_point	冒烟点

smoke_ring	烟圈

smoke_screen	烟幕

smoke_signal	烟雾信号

smoke_test	冒烟测试

smoking	抽烟

smoking_car	吸烟车

smoking_gun	吸烟枪

smoking_room	吸烟室

smooth	光滑

smuggling	走私

snail	蜗牛

snake	蛇

snake_oil	蛇油

snap	卡

snap_shot	快照

sniper	狙击兵

snow	雪

snow_cover	雪盖

snow_day	下雪天

snow_globe	雪球

soap	肥皂

soap_opera	肥皂剧

soaring	冲天

soccer	足球

soccer_ball	足球

soccer_field	足球场

soccer_mom	足球妈妈

soccer_player	足球运动员

social	社会

social_capital	社会资本

social_class	社会阶层

social_conservative	社会保守

social_contract	社会契约

social_control	社会控制

social_credit	社会信用

social_democracy	社会民主

social_democrat	社会民主主义者

social_engineering	社会工程学

social_group	社交群

social_life	社会生活

social_media	社交媒体

social_network	社交网络

social_networking	社交网络

social_psychology	社会心理学

social_responsibility	社会责任感

social_science	社会科学

social_scientist	社会科学家

social_security	社会保障

social_work	社会工作

social_worker	社会工作者

socialism	社会主义

socialist	社会主义的

society	社会

sociology	社会学

sodium	钠

soft_drink	汽水

soft_rock	软岩

softball	垒球

software	软件

software_architect	软件架构师

software_architecture	软件架构

software_development	软件开发

software_engine	软件引擎

software_engineer	软件工程师

software_engineering	软件工程

software_framework	软件框架

software_house	软件公司

software_package	软件包

soil	泥

soil_conservation	水土保持

soil_science	土壤科学

soil_scientist	土壤科学家

solar	太阳能

solar_calendar	阳历

solar_cell	太阳能电池

solar_energy	太阳能

solar_panel	太阳能板

solar_radiation	太阳辐射

solar_time	太阳时间

solar_year	太阳年

soldier	士兵

sole	唯一

solid	固体

solidarity	团结

solo	独奏

solo_album	个人专辑

solo_concert	独奏音乐会

solution	解

solutions	解决方案

somerset	萨默塞特

son	儿子

song	歌曲

songwriter	作曲家

sony	索尼

sophomore	二年级

sore	疮

sorry	抱歉

sort	分类

soul	灵魂

soul_food	灵魂食品

soul_mate	灵魂伴侣

soul_music	灵魂音乐

sound	声音

sound_bite	咬一口

sound_effect	音效

sound_engineer	音响工程师

sound_stage	声场

sound_system	音响系统

sound_wave	声波

sounding	听起来

soundtrack	声带

soup	汤

sour	酸

source	资源

source_code	源代码

source_control	源代码控制

source_language	源语言

source_text	源文本

south	南

south_africans	南非人

south_pole	南极

southeast	东南

southwest	西南

sovereign	君主

sovereignty	主权

soviet	苏联

sox	短袜

spa	温泉

space	空间

space_age	太空时代

space_alien	太空外星人

space_blanket	太空毯

space_debris	空间碎片

space_environment	空间环境

space_exploration	太空探索

space_flight	航天

space_frame	空间框架

space_group	空间群

space_heating	空间供暖

space_junk	宇宙垃圾

space_mission	太空任务

space_opera	太空歌剧

space_probe	太空探测器

space_race	太空竞赛

space_research	空间研究

space_rock	太空摇滚

space_rocket	宇宙火箭

space_satellite	卫星

space_science	太空科学

space_ship	太空飞船

space_shuttle	航天飞机

space_station	空间站

space_suit	太空服

space_technology	太空技术

space_tourism	太空旅游

space_travel	太空旅行

space_vehicle	航天器

space_walk	太空漫步

space_weather	太空天气

spacecraft	宇宙飞船

span	跨度

spare	备用

spark	火花

spate	泛滥

speak	说话

speaker	扬声器

speaking	请讲

speaking_clock	讲钟

special	特别

special_agent	特务

special_effect	特殊效果

special_school	特殊学校

specialist	专家

specialty	专业

species	种类

species_name	物种名称

specific	具体

specific_name	具体名称

spectacular	壮观

spectator	观众

specter	幽灵

spectrum	光谱

speculation	推测

speech	言语

speech_act	言语行为

speech_balloon	语音气球

speech_community	言语社区

speech_disorder	语言障碍

speech_recognition	语音识别

speed	速度

speed_boat	快艇

speed_camera	测速照相机

speed_limit	速度极限

speed_queen	速度女王

speed_skating	速度滑冰

speed_trap	汽车超速监视区

speeding	超速

speedway	高速公路

spell	拼写

spelling	拼字

spencer	斯宾塞

spend	花

spending_money	花钱

spending_spree	消费热潮

sphere	球

spider	蜘蛛

spike	穗

spill	洒

spin	纺

spin_doctor	旋转医生

spinner	微调

spinning	纺织

spiral	螺旋

spirit	精神

spirits	酒

spiritual	精神

spiritual_leader	精神领袖

spite	尽管

spitzer	斯皮策

split	分裂

split_decision	分割决定

split_screen	分屏

splitting	分裂

spoke	辐

spokesman	发言人

spokesperson	发言人

spokeswoman	发言人

sponsor	赞助

sponsors	赞助商

sponsorship	赞助

sport	运动

sport_jacket	运动外套

sportsman	运动员

spot	点

spot_check	突击检查

spot_kick	踢踢

spot_market	现货市场

spot_price	现货价格

spotlight	聚光灯

spouse	伴侣

spray	喷雾

spread	传播

spree	大礼包

spring	弹簧

spring_break	春假

spring_cleaning	春季大扫除

spring_constant	弹簧常数

spring_festival	春节

spring_fever	春季伤风

spring_green	春天绿色

spring_onion	葱

spring_roll	春卷

spring_training	春季培训

spring_water	泉水

sprint	短跑

spur	骨刺

spy	间谍

spy_ring	间谍圈

spy_satellite	间谍卫星

spying	间谍

squad	队

squad_car	班车

squadron	队

square	广场

square_dance	广场舞

square_foot	平方英尺

square_inch	平方英寸

square_matrix	方阵

square_meter	平方米

square_mile	平方英里

squeeze	挤

stability	稳定性

stable	稳定

stack	堆

stadium	体育场

staff	员工

staff_officer	参谋

staff_sergeant	军士

stage	阶段

stage_direction	舞台方向

stage_diving	潜水阶段

stage_manager	舞台监督

stage_name	艺名

stage_race	舞台比赛

staging	分期

staging_area	暂存区

stairs	楼梯

stake	赌注

stalemate	僵持

stamp	邮票

stamp_duty	印花税

stance	姿态

stand	支架

standard	标准

standard_language	标准语言

standard_time	标准时间

standing	常设

standing_army	常备军

standing_committee	常务委员会

standing_order	长期订单

standing_stone	立石

standing_wave	驻波

standoff	对峙

staple	钉书针

star	星

star_chamber	星室

star_chart	星图

star_cluster	星团

star_sign	星号

star_system	星系

starring	主演

start	开始

starter	起动机

state	州

state_capital	州首都

state_flower	州花

state_house	州议会大厦

state_machine	状态机

state_ownership	国家所有权

state_pattern	状态模式

state_school	公立学校

state_secret	国家机密

state_space	状态空间

statement	声明

statesman	政治家

station	站

station_house	车站房

station_wagon	旅行车

statistic	统计

statistical_analysis	统计分析

statistics	统计

statue	雕像

status	状态

status_conference	状态会议

status_quo	现状

status_symbol	身份的象征

statute	法令

statute_book	法典

statute_law	制定法

stay	留

staying_power	持久力

stead	代替

steal	偷

stealing	偷窃行为

steam	蒸汽

steam_engine	蒸汽机

steam_power	蒸汽动力

steam_room	蒸汽房

steam_ship	蒸汽船

steam_train	蒸汽火车

steel	钢

steel_guitar	钢吉他

steel_wheel	钢轮

steep	陡

steer	驾驶

steering	操舵

stem	干

stem_cell	干细胞

step	步

step_change	阶跃变化

step_function	阶跃函数

sterling	英镑

sterling_silver	纯银

stern	严肃

steven	史蒂芬

stick	棒

stick_figure	简笔画

stick_shift	变速杆

sticking_point	关键

stiff	僵硬

still	仍然

stimulus	刺激物

stimulus_package	刺激方案

sting	刺

stint	限制

stir	搅拌

stirring	搅拌

stock	股票

stock_car	库存车

stock_character	股票字符

stock_company	股票公司

stock_exchange	股票交易

stock_market	股市

stock_symbol	股票代号

stockbroker	股票经纪人

stockholder	股东

stocks	个股

stoke	斯托克

stole	偷了

stomach	胃

stomach_cancer	胃癌

stomach_flu	急性肠胃炎

stone	石

stone_fruit	核果

stone_soup	石头汤

stop	停

stop_motion	定格

stop_sign	停止标志

stop_word	停用词

stopping	停止

storage	存储

storage_device	储存设备

storage_medium	储存介质

store	商店

store_brand	店铺品牌

storm	风暴

storm_cloud	暴风云

storm_drain	暴风雨

storm_surge	风暴潮

storm_tide	风暴潮

story	故事

story_arc	故事弧

story_editor	故事编辑

straight	直行

straight_edge	直边

strain	应变

strait	海峡

stranger	陌生人

strategic_management	战略管理

strategist	战略家

strategy	战略

strategy_game	策略游戏

strategy_pattern	策略模式

straw	稻草

straw_man	稻草人

straw_poll	稻草民意调查

streak	条纹

stream	流

street	街

street_address	街道地址

street_art	街头艺术

street_artist	街头艺人

street_clothes	街头服装

street_credibility	街头信誉

street_dance	街舞

street_fighter	街头霸王

street_food	街头食品

street_hockey	曲棍球

street_light	路灯

street_market	街边市场

street_name	街道名称

street_party	街头派对

street_racing	街头赛车

street_railway	街头铁路

strength	强度

strength_training	力量训练

strengthening	强化

stress	强调

stress_ball	压力球

stress_test	压力测试

stretch	伸展

stretch_mark	妊娠纹

strife	争吵

strike	罢工

strike_bowler	罢工常礼帽

strike_force	打击力量

strike_partner	罢工伙伴

strike_zone	打击区

striker	前锋

string	串

string_band	弦乐队

string_cheese	芝士条

string_ensemble	弦乐合奏

string_instrument	弦乐器

string_orchestra	弦乐团

string_quartet	弦乐四重奏

string_theory	弦理论

strip	跳闸

strip_club	脱衣舞俱乐部

strip_joint	带状接头

strip_mall	脱衣舞厅

strip_mine	露天矿

stroke	行程

strong_interaction	强烈的互动

stronghold	据点

structure	结构体

struggle	斗争

stuck	卡住

student	学生

student_body	学生身体

studio	工作室

studio_album	录音室专辑

study	研究

stuff	东西

stupid	笨

style	样式

style_guide	时尚指南

style_sheet	样式表

sub	子

subcommittee	小组委员会

subject	学科

submarine	潜艇

subprime	次贷

subscriber	订户

subsidiary	副

subsidy	补贴

substance	物质

substance_abuse	滥用药物

substitute	替代

subtropical	亚热带

suburb	市郊

suburbs	郊区

subway	地铁

success	成功

success_story	成功的故事

succession	演替

successor	接班人

sudden	突然

sudden_death	猝死

suffering	痛苦

sugar	糖

sugar_alcohol	糖醇

sugar_bowl	糖罐

sugar_candy	糖糖

sugar_mill	糖厂

sugar_substitute	糖替代品

sugar_water	糖水

suggestion	建议

suggestion_box	建议箱

suicide	自杀

suicide_bomber	自杀式炸弹袭击者

suicide_bombing	自杀炸弹

suicide_door	自杀门

suicide_note	自杀笔记

suicide_pact	自杀契约

suicide_victim	自杀受害者

suicide_watch	自杀表

suit	适合

suite	套房

sultan	苏丹

sum	和

summary	摘要

summary_judgment	简易判决

summer	夏天

summer_camp	夏令营

summer_cottage	夏季别墅

summer_house	避暑别墅

summer_resort	避暑胜地

summer_school	暑期班

summer_stock	夏季股票

summer_time	夏令时

summit	首脑

sun	太阳

sun_bear	太阳熊

sun_dog	太阳狗

sun_hat	太阳帽

sunk_cost	沉没成本

sunny	晴朗

sunset	日落

sunshine	阳光

super	超

super_heavyweight	超级重量级

superintendent	所长

superior	优越

superior_court	上级法院

supermarket	超级市场

superstar	超级明星

supervision	监督

supervisor	监

supplement	补充

supplier	供应商

supply	供应

supply_chain	供应链

supply_depot	补给站

supply_line	供应线

supply_side	供应方

supply_teacher	补给老师

support	支持

support_act	支持法

support_group	支援团队

supporter	支持者

supreme_being	至高无上

supreme_court	最高法院

surf	冲浪

surface	表面

surface_area	表面积

surface_runoff	地表径流

surface_ship	水面舰艇

surface_tension	表面张力

surface_water	地表水

surge	浪涌

surgeon	外科医生

surgery	手术

surname	姓

surplus	剩余

surplus_value	剩余价值

surprise	惊

surrender	投降

surrey	萨里

surrounding	周围

surveillance	监控

surveillance_camera	监控摄像头

survey	调查

surveys	调查

